GAME_ID,OPPONENT,LOCATION,DATE,SEASON
1,Pewaukee,Away,11/19/2022,2023
2,Verona,Neutral,11/26/2022,2023
3,Ashwaubenon,Home,12/01/2022,2023
4,Nazareth Academy (IL),Neutral,12/03/2022,2023
5,Sheboygan North,Home,12/08/2022,2023
6,Pulaski,Home,12/13/2022,2023
7,Kettle Moraine,Away,12/28/2022,2023
8,Kimberly,Scrimmage,11/11/2023,2024
9,Oak Creek,Scrimmage,11/11/2023,2024
10,Pewaukee,Home,11/18/2023,2024
