SPOT,XSPOT,YSPOT
RB2,65,0
LB2,-65,0
ML2,0,30
FT2,0,150
RE2,65,150
LE2,-65,150
RMR2,95,75
LMR2,-95,75
LC3,-225,0
RC3,225,0
LW3,-150,175
RW3,150,175
TK3,0,225
